Material,Grade,Thickness (mm),Laser Power (kW),Speed (mm/min),Gas & Pressure,Ra (µm),Deviation (mm),Kerf Taper (mm),HAZ Depth (µm),Linear Energy (J/mm)
Mild Steel,S355JR,4,3.0,2900,O₂ @ 0.40 bar,1.3,0.225,0.03,33,62.07
Mild Steel,S355JR,6,3.9,3240,O₂ @ 0.55 bar,1.1,0.096,0.15,205,72.22
Mild Steel,S355JR,2,2.5,3500,O₂ @ 0.35 bar,1.5,0.150,0.02,25,42.86
Mild Steel,S355JR,8,4.5,2800,O₂ @ 0.60 bar,1.2,0.120,0.18,250,96.43
Mild Steel,S355JR,10,5.0,2500,O₂ @ 0.65 bar,1.4,0.140,0.20,300,120.00
Stainless Steel,AISI 304,2,3.0,4000,N₂ @ 1.0 bar,0.9,0.080,0.01,20,45.00
Stainless Steel,AISI 304,4,4.0,3500,N₂ @ 1.2 bar,0.8,0.090,0.02,30,68.57
Stainless Steel,AISI 304,6,4.5,3000,N₂ @ 1.4 bar,1.0,0.100,0.03,50,90.00
Stainless Steel,AISI 304,8,5.0,2600,N₂ @ 1.6 bar,1.1,0.110,0.04,70,115.38
Stainless Steel,AISI 304,10,5.5,2200,N₂ @ 1.8 bar,1.2,0.120,0.05,90,150.00
Aluminium,Al-6061,2,2.5,4500,N₂ @ 0.8 bar,0.7,0.070,0.01,15,33.33
Aluminium,Al-6061,4,3.5,4000,N₂ @ 1.0 bar,0.8,0.080,0.02,20,52.50
Aluminium,Al-6061,6,4.0,3500,N₂ @ 1.2 bar,0.9,0.090,0.03,30,68.57
Aluminium,Al-6061,8,4.5,3000,N₂ @ 1.4 bar,1.0,0.100,0.04,40,90.00
Aluminium,Al-6061,10,5.0,2600,N₂ @ 1.6 bar,1.1,0.110,0.05,50,115.38
Titanium,Ti6Al4V,2,3.0,3000,N₂ @ 1.5 bar,0.8,0.090,0.01,25,60.00
Titanium,Ti6Al4V,4,4.0,2500,N₂ @ 1.7 bar,0.9,0.100,0.02,35,96.00
Titanium,Ti6Al4V,6,4.5,2000,N₂ @ 1.9 bar,1.0,0.110,0.03,50,135.00
Titanium,Ti6Al4V,8,5.0,1800,N₂ @ 2.0 bar,1.1,0.120,0.04,70,166.67
Titanium,Ti6Al4V,10,5.5,1600,N₂ @ 2.2 bar,1.2,0.130,0.05,90,206.25
Mild Steel,S355JR,3,2.8,3200,O₂ @ 0.38 bar,1.4,0.160,0.02,28,52.50
Mild Steel,S355JR,5,3.5,3000,O₂ @ 0.50 bar,1.2,0.110,0.14,180,70.00
Mild Steel,S355JR,7,4.2,2700,O₂ @ 0.58 bar,1.3,0.130,0.17,220,93.33
Stainless Steel,AISI 304,3,3.5,3800,N₂ @ 1.1 bar,0.9,0.085,0.01,25,55.26
Stainless Steel,AISI 304,5,4.2,3200,N₂ @ 1.3 bar,0.9,0.095,0.02,40,78.75
Aluminium,Al-6061,3,3.0,4200,N₂ @ 0.9 bar,0.8,0.075,0.01,18,42.86
Aluminium,Al-6061,5,3.8,3600,N₂ @ 1.1 bar,0.9,0.085,0.03,25,63.33
Titanium,Ti6Al4V,3,3.5,2800,N₂ @ 1.6 bar,0.9,0.095,0.02,30,75.00
